run_id,MSE,Max_Abs_Error,Mean_Rel_Error
0,14.147829055786133,22.549470901489258,11.73176097869873
1,15.144092559814453,22.667924880981445,13.911444664001465
2,13.04181957244873,22.083192825317383,10.610246658325195
3,12.786698341369629,26.47228240966797,11.182419776916504
4,15.646695137023926,23.674182891845703,13.664023399353027
5,13.089311599731445,21.137678146362305,12.222771644592285
6,14.662484169006348,25.95041275024414,11.106470108032227
7,13.074175834655762,21.617761611938477,11.737041473388672
8,14.943716049194336,23.63109016418457,10.519121170043945
9,17.12533950805664,22.698251724243164,15.78260612487793
10,14.442560195922852,23.40220832824707,14.78518295288086
11,15.003878593444824,24.93088150024414,12.914799690246582
12,15.787034034729004,23.09228515625,12.247369766235352
13,13.494183540344238,22.17583656311035,11.274587631225586
14,16.130233764648438,24.80486488342285,14.979334831237793
15,14.96281623840332,24.99559783935547,19.21892547607422
16,14.4834623336792,24.155244827270508,13.884322166442871
17,13.372932434082031,25.459617614746094,9.847813606262207
18,15.615790367126465,23.459396362304688,15.998820304870605
19,13.595081329345703,24.01807403564453,11.389062881469727
20,15.053207397460938,24.725154876708984,12.862227439880371
21,14.76795482635498,22.95909309387207,13.094047546386719
22,14.183520317077637,24.461759567260742,10.353128433227539
23,15.203027725219727,24.891265869140625,13.386545181274414
24,14.844422340393066,28.034290313720703,10.658487319946289
25,14.3064546585083,25.558303833007812,12.782292366027832
26,13.396985054016113,20.635692596435547,14.261836051940918
27,13.946907043457031,27.866756439208984,10.580310821533203
28,15.090110778808594,21.68560218811035,11.477392196655273
29,13.985501289367676,21.663183212280273,16.205080032348633
30,13.907870292663574,21.692249298095703,13.462949752807617
31,15.699617385864258,25.701322555541992,11.959468841552734
32,16.64554214477539,23.029428482055664,15.890006065368652
33,17.069929122924805,25.133872985839844,11.664743423461914
34,13.831064224243164,24.163288116455078,10.082171440124512
35,15.65119743347168,24.994773864746094,15.81050968170166
36,16.32701301574707,22.985088348388672,11.8646879196167
37,16.124217987060547,22.781421661376953,12.131986618041992
38,13.802567481994629,22.133289337158203,11.141578674316406
39,13.883662223815918,22.448471069335938,13.88720703125
40,16.408531188964844,24.382591247558594,11.786381721496582
41,15.01976490020752,31.942760467529297,15.089086532592773
42,13.84815788269043,24.4206600189209,10.32843017578125
43,14.309937477111816,25.293468475341797,10.84574031829834
44,14.648916244506836,22.897506713867188,10.932027816772461
45,14.495697975158691,23.57225799560547,10.549830436706543
46,16.199283599853516,28.329879760742188,13.032379150390625
47,14.337677955627441,22.179916381835938,13.007220268249512
48,16.87859535217285,29.607868194580078,14.00279712677002
49,15.99166202545166,25.478416442871094,13.290519714355469
