run_id,MSE,Max_Abs_Error,Mean_Rel_Error
0,1.2986631190869957e-05,0.003603696823120117,0.0011096911039203405
1,1.8010268831858411e-09,4.2438507080078125e-05,1.3068144653516356e-05
2,4.221756171318702e-06,0.0020546913146972656,0.0006327037699520588
3,0.0001395677390974015,0.011813879013061523,0.003637863090261817
4,1.3321414371603169e-06,0.001154184341430664,0.00035540948738344014
5,2.6176278424827615e-06,0.0016179084777832031,0.0004982046666555107
6,3.017747076228261e-05,0.0054934024810791016,0.0016915906453505158
7,8.399657417612616e-06,0.0028982162475585938,0.000892451498657465
8,5.383743882703129e-06,0.0023202896118164062,0.0007144898409023881
9,1.0482858670002315e-05,0.0032377243041992188,0.0009969966486096382
10,2.4356836547667626e-09,4.935264587402344e-05,1.5197224456642289e-05
11,0.0004909200360998511,0.022156715393066406,0.006822746247053146
12,3.880543226841837e-05,0.006229400634765625,0.0019182275282219052
13,5.938366030022735e-06,0.0024368762969970703,0.0007503905217163265
14,2.7110238534078235e-06,0.0016465187072753906,0.0005070146289654076
15,9.93443336483324e-08,0.0003151893615722656,9.705666889203712e-05
16,5.448916635941714e-05,0.0073816776275634766,0.002273049671202898
17,8.149111090460792e-05,0.009027242660522461,0.002779770642518997
18,8.942995918914676e-06,0.0029904842376708984,0.0009208637056872249
19,1.56883161253063e-05,0.003960847854614258,0.0012196690076962113
20,1.2486341802286915e-05,0.003533601760864258,0.0010881066555157304
21,0.0001182964479085058,0.01087641716003418,0.0033491894137114286
22,0.00034074648283421993,0.018459320068359375,0.005684202536940575
23,2.1195552335484535e-07,0.0004603862762451172,0.00014176734839566052
24,2.728757522163505e-07,0.0005223751068115234,0.000160855648573488
25,0.00015616776363458484,0.012496709823608398,0.003848128253594041
26,0.0001682943693595007,0.012972831726074219,0.003994741011410952
27,1.2412313481036108e-05,0.003523111343383789,0.0010848762467503548
28,1.7940876659849891e-06,0.0013394355773925781,0.00041245415923185647
29,1.1050772627640981e-05,0.003324270248413086,0.0010236469097435474
30,1.2149962458352093e-05,0.0034856796264648438,0.0010733498493209481
31,7.647531674592756e-06,0.0027654170989990234,0.0008515585213899612
32,5.747872273786925e-05,0.007581472396850586,0.002334572607651353
33,0.00015401217387989163,0.012410163879394531,0.0038214779924601316
34,8.520422852598131e-05,0.009230613708496094,0.002842394867911935
35,8.957261343311984e-06,0.002992868423461914,0.0009215978789143264
36,0.00019654608331620693,0.014019489288330078,0.0043170396238565445
37,0.0002113340888172388,0.014537334442138672,0.004476500209420919
38,3.7620513467118144e-05,0.006133556365966797,0.0018887140322476625
39,3.501941137074027e-06,0.001871347427368164,0.0005762464716099203
40,3.0400535251828842e-05,0.005513668060302734,0.0016978309722617269
41,2.409397711744532e-05,0.004908561706542969,0.0015114998677745461
42,1.5117556358745787e-05,0.0038881301879882812,0.0011972769862040877
43,6.972165010665776e-06,0.0026404857635498047,0.0008130882051773369
44,6.313914491329342e-05,0.007946014404296875,0.002446826547384262
45,2.1446554455906153e-05,0.00463104248046875,0.00142604298889637
46,0.0001824360660975799,0.013506889343261719,0.004159193951636553
47,2.6742332920548506e-05,0.005171298980712891,0.0015924049075692892
48,3.73315233446192e-05,0.006109952926635742,0.0018814457580447197
49,3.1045425430420437e-07,0.0005571842193603516,0.00017157445836346596
