run_id,MSE,Max_Abs_Error,Mean_Rel_Error
0,1.8725501149674528e-07,0.00043272972106933594,0.0001332510291831568
1,2.0954757928848267e-05,0.00457763671875,0.0014095976948738098
2,0.00011497495142975822,0.010722637176513672,0.0033018356189131737
3,2.7554749976843596e-05,0.0052492618560791016,0.0016164120752364397
4,7.344663572439458e-06,0.002710103988647461,0.0008345258538611233
5,2.9623356567753945e-06,0.0017211437225341797,0.000529994023963809
6,4.896619998362439e-07,0.0006997585296630859,0.0002154775575036183
7,4.523622578744835e-07,0.0006725788116455078,0.0002071080671157688
8,1.3264762856124435e-05,0.0036420822143554688,0.0011215111007913947
9,1.3122737072990276e-05,0.0036225318908691406,0.0011154910316690803
10,5.196370693738572e-05,0.007208585739135742,0.0022197491489350796
11,0.00021777366055175662,0.014757156372070312,0.004544190596789122
12,1.2626269381144084e-06,0.001123666763305664,0.00034601218067109585
13,4.5705673983320594e-05,0.006760597229003906,0.002081799553707242
14,0.00042140198638662696,0.020528078079223633,0.00632123788818717
15,9.46371346799424e-06,0.003076314926147461,0.0009472936508245766
16,0.00023867306299507618,0.015449047088623047,0.004757245071232319
17,8.629231160739437e-06,0.0029375553131103516,0.0009045652695931494
18,5.0235597882419825e-05,0.00708770751953125,0.0021825269795954227
19,3.616663525463082e-05,0.0060138702392578125,0.001851858920417726
20,0.00012111361866118386,0.011005163192749023,0.003388834185898304
21,0.0003697519423440099,0.01922893524169922,0.005921191070228815
22,6.796022353228182e-05,0.008243799209594727,0.002538523869588971
23,0.00032557715894654393,0.01804375648498535,0.005556237418204546
24,6.788948667235672e-05,0.008239507675170898,0.0025372023228555918
25,3.4898977901320904e-05,0.005907535552978516,0.0018191151320934296
26,6.322017725324258e-06,0.002514362335205078,0.0007742508896626532
27,1.2755685929732863e-05,0.0035715103149414062,0.0010997798526659608
28,4.6472887333948165e-05,0.0068171024322509766,0.0020991992205381393
29,4.278773303667549e-06,0.0020685195922851562,0.0006369619513861835
30,0.00021894332894589752,0.014796733856201172,0.0045563774183392525
31,4.4501598495116923e-07,0.0006670951843261719,0.00020541949197649956
32,1.0602073416521307e-05,0.003256082534790039,0.0010026497766375542
33,1.1393426575523335e-06,0.0010673999786376953,0.00032868588459677994
34,8.495792371832067e-07,0.0009217262268066406,0.0002838283544406295
35,2.675028554222081e-06,0.0016355514526367188,0.0005036374786868691
36,0.0003718086809385568,0.01928234100341797,0.005937636364251375
37,0.00013405752542894334,0.01157832145690918,0.0035653277300298214
38,8.607795462012291e-05,0.009277820587158203,0.0028569314163178205
39,0.0001683562295511365,0.012975215911865234,0.003995475359261036
40,0.0001284204190596938,0.011332273483276367,0.0034895618446171284
41,2.8940921765752137e-05,0.005379676818847656,0.0016565709374845028
42,1.4606536069550202e-07,0.0003821849822998047,0.00011768672266043723
43,0.000309099443256855,0.01758122444152832,0.005413809325546026
44,3.8882702938281e-05,0.006235599517822266,0.0019201362738385797
45,8.797289865469793e-07,0.0009379386901855469,0.0002888206799980253
46,1.1217838618904352e-05,0.00334930419921875,0.0010313555831089616
47,1.607597187103238e-05,0.0040094852447509766,0.0012346460716798902
48,8.040570378398115e-07,0.0008966922760009766,0.0002761196228675544
49,4.823156268685125e-05,0.006944894790649414,0.002138550626114011
